Coords	Name	MIRNA	sRNA-POC-47-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-48-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-50-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-53-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-57-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG
Pocillopora_meandrina_HIv1___Sc0000000:11816999-11818263	Cluster_265	N	35	22	802	227	190
Pocillopora_meandrina_HIv1___Sc0000000:11818269-11818788	Cluster_266	N	27	17	635	14	190
Pocillopora_meandrina_HIv1___Sc0000000:11819718-11820119	Cluster_267	N	66	6	65	29	29
Pocillopora_meandrina_HIv1___Sc0000000:11820158-11820585	Cluster_268	N	79	12	29	28	23
Pocillopora_meandrina_HIv1___Sc0000000:11822375-11824220	Cluster_269	N	5995	2340	2655	4883	2150
Pocillopora_meandrina_HIv1___Sc0000000:11825210-11826891	Cluster_270	N	738	276	486	423	110
Pocillopora_meandrina_HIv1___Sc0000000:11828734-11829306	Cluster_271	N	93	25	57	36	175
Pocillopora_meandrina_HIv1___Sc0000000:11851345-11852170	Cluster_272	N	538	407	8	701	211
Pocillopora_meandrina_HIv1___Sc0000000:11856935-11857353	Cluster_273	N	88	9	27	36	12
Pocillopora_meandrina_HIv1___Sc0000000:11859861-11860838	Cluster_274	N	1365	25	712	49	714
Pocillopora_meandrina_HIv1___Sc0000000:11860923-11861894	Cluster_275	N	1617	30	1606	190	895
Pocillopora_meandrina_HIv1___Sc0000000:11862228-11862801	Cluster_276	N	191	11	402	3	364
Pocillopora_meandrina_HIv1___Sc0000000:11864344-11864773	Cluster_277	N	22	7	100	230	16
Pocillopora_meandrina_HIv1___Sc0000000:11864858-11866061	Cluster_278	N	479	210	1295	4407	187
Pocillopora_meandrina_HIv1___Sc0000000:11866699-11867680	Cluster_279	N	24747	586	27562	5670	8257
Pocillopora_meandrina_HIv1___Sc0000000:11869195-11869625	Cluster_280	N	349	24	73	2	43
Pocillopora_meandrina_HIv1___Sc0000000:11870083-11871161	Cluster_281	N	1245	72	267	19	260
Pocillopora_meandrina_HIv1___Sc0000000:11871339-11872211	Cluster_282	N	497	67	182	13	143
Pocillopora_meandrina_HIv1___Sc0000000:11872624-11873076	Cluster_283	N	510	62	231	24	65
Pocillopora_meandrina_HIv1___Sc0000000:11879278-11880568	Cluster_284	N	12729	8587	7306	9147	1374
Pocillopora_meandrina_HIv1___Sc0000000:11880663-11881090	Cluster_285	N	76	12	918	109	103
Pocillopora_meandrina_HIv1___Sc0000000:11882087-11882516	Cluster_286	N	148	26	96	48	34
Pocillopora_meandrina_HIv1___Sc0000000:11882809-11883388	Cluster_287	N	172	34	227	93	26
Pocillopora_meandrina_HIv1___Sc0000000:11884724-11885487	Cluster_288	N	606	3	12	24	2
Pocillopora_meandrina_HIv1___Sc0000000:11887649-11888834	Cluster_289	N	696	18	508	1514	23
Pocillopora_meandrina_HIv1___Sc0000000:11894481-11895204	Cluster_290	N	61	167	564	1034	54
Pocillopora_meandrina_HIv1___Sc0000000:11895337-11896747	Cluster_291	N	246	516	1009	542	219
Pocillopora_meandrina_HIv1___Sc0000000:11896761-11897212	Cluster_292	N	73	16	31	166	90
Pocillopora_meandrina_HIv1___Sc0000000:11897488-11898268	Cluster_293	N	80	43	53	311	216
Pocillopora_meandrina_HIv1___Sc0000000:11902264-11902850	Cluster_294	N	210	358	688	8	157
Pocillopora_meandrina_HIv1___Sc0000000:12313190-12313604	Cluster_295	N	46	2	0	29	0
Pocillopora_meandrina_HIv1___Sc0000000:12327275-12327687	Cluster_296	N	8	22	16	58	54
Pocillopora_meandrina_HIv1___Sc0000000:12448995-12450060	Cluster_297	N	697	190	199	420	94
Pocillopora_meandrina_HIv1___Sc0000000:12548228-12548651	Cluster_298	N	69	21	1	0	0
Pocillopora_meandrina_HIv1___Sc0000000:12614642-12615056	Cluster_299	N	67	76	0	301	4
Pocillopora_meandrina_HIv1___Sc0000000:12682298-12682725	Cluster_300	N	104	45	33	10	2
Pocillopora_meandrina_HIv1___Sc0000000:12687759-12688188	Cluster_301	N	42	35	70	102	30
Pocillopora_meandrina_HIv1___Sc0000000:12688213-12688640	Cluster_302	N	60	40	82	44	30
Pocillopora_meandrina_HIv1___Sc0000000:12688689-12689095	Cluster_303	N	46	14	18	25	13
Pocillopora_meandrina_HIv1___Sc0000000:12691009-12691558	Cluster_304	N	113	40	61	199	42
Pocillopora_meandrina_HIv1___Sc0000000:12762833-12763259	Cluster_305	N	0	1	2	290	0
Pocillopora_meandrina_HIv1___Sc0000000:12777775-12778197	Cluster_306	N	5	13	121	24	0
Pocillopora_meandrina_HIv1___Sc0000000:12848533-12848948	Cluster_307	N	21	9	39	21	7
Pocillopora_meandrina_HIv1___Sc0000000:12951425-12951935	Cluster_308	N	8	5	454	252	6
Pocillopora_meandrina_HIv1___Sc0000000:13269363-13269787	Cluster_309	N	4	19	31	83	3
Pocillopora_meandrina_HIv1___Sc0000000:13278878-13279296	Cluster_310	N	0	283	0	0	0
Pocillopora_meandrina_HIv1___Sc0000000:13315394-13315809	Cluster_311	N	6	33	0	15	21
Pocillopora_meandrina_HIv1___Sc0000000:13335663-13336112	Cluster_312	N	22	85	64	383	358
Pocillopora_meandrina_HIv1___Sc0000000:13337548-13338139	Cluster_313	N	38	97	48	137	224
Pocillopora_meandrina_HIv1___Sc0000000:13607264-13607690	Cluster_314	N	1	121	0	0	1
Pocillopora_meandrina_HIv1___Sc0000000:13714447-13714873	Cluster_315	N	1	0	358	0	1
Pocillopora_meandrina_HIv1___Sc0000000:13752128-13752978	Cluster_316	N	354	321	554	395	11
Pocillopora_meandrina_HIv1___Sc0000000:13753534-13755105	Cluster_317	N	493	299	763	633	29
Pocillopora_meandrina_HIv1___Sc0000000:13777450-13777874	Cluster_318	N	0	28	222	0	1
Pocillopora_meandrina_HIv1___Sc0000000:13793624-13794060	Cluster_319	N	227	54	152	48	53
Pocillopora_meandrina_HIv1___Sc0000000:13795207-13795634	Cluster_320	N	0	0	0	0	106
Pocillopora_meandrina_HIv1___Sc0000000:13888862-13889287	Cluster_321	N	4	9	3	56	39
Pocillopora_meandrina_HIv1___Sc0000000:13932415-13932827	Cluster_322	N	30	2	24	43	9
Pocillopora_meandrina_HIv1___Sc0000000:14041336-14042284	Cluster_323	N	982	352	715	41	151
Pocillopora_meandrina_HIv1___Sc0000000:14042286-14043154	Cluster_324	N	222	73	211	45	26
Pocillopora_meandrina_HIv1___Sc0000000:14043355-14045670	Cluster_325	N	1034	424	2513	420	166
Pocillopora_meandrina_HIv1___Sc0000000:14199236-14199664	Cluster_326	N	0	1	294	0	4
Pocillopora_meandrina_HIv1___Sc0000000:14564110-14564538	Cluster_327	N	0	1	293	2	1
Pocillopora_meandrina_HIv1___Sc0000000:14751024-14751452	Cluster_328	N	15	40	6	199	3
Pocillopora_meandrina_HIv1___Sc0000000:14751993-14752696	Cluster_329	N	102	65	62	43	11
Pocillopora_meandrina_HIv1___Sc0000000:14753927-14754355	Cluster_330	N	101	40	22	76	8
Pocillopora_meandrina_HIv1___Sc0000000:14917731-14918157	Cluster_331	N	1	36	2	2	123
Pocillopora_meandrina_HIv1___Sc0000000:15297104-15297532	Cluster_332	N	68	32	8	32	18
Pocillopora_meandrina_HIv1___Sc0000000:15361940-15362422	Cluster_333	N	53	97	68	79	79
Pocillopora_meandrina_HIv1___Sc0000000:15365853-15366280	Cluster_334	N	36	42	31	27	76
Pocillopora_meandrina_HIv1___Sc0000000:15682027-15682444	Cluster_335	N	6	0	164	35	0
Pocillopora_meandrina_HIv1___Sc0000000:15838795-15839444	Cluster_336	N	652	1	548	0	1
Pocillopora_meandrina_HIv1___Sc0000000:15877485-15877913	Cluster_337	N	0	0	185	0	0
Pocillopora_meandrina_HIv1___Sc0000000:16151380-16151857	Cluster_338	N	18	61	29	66	233
Pocillopora_meandrina_HIv1___Sc0000000:16197870-16198683	Cluster_339	N	3428	4868	4771	2481	1428
Pocillopora_meandrina_HIv1___Sc0000000:16218376-16218795	Cluster_340	N	95	539	473	928	2884
Pocillopora_meandrina_HIv1___Sc0000000:16370090-16370544	Cluster_341	N	455	261	356	718	104
Pocillopora_meandrina_HIv1___Sc0000000:16388395-16388993	Cluster_342	N	210	349	680	151	446
Pocillopora_meandrina_HIv1___Sc0000000:16449058-16449470	Cluster_343	N	26	27	38	15	22
Pocillopora_meandrina_HIv1___Sc0000000:16450619-16451049	Cluster_344	N	62	57	84	99	30
Pocillopora_meandrina_HIv1___Sc0000000:16480310-16481760	Cluster_345	N	727	192	164	897	565
Pocillopora_meandrina_HIv1___Sc0000000:16481862-16482705	Cluster_346	N	4380	61	2043	248	173
Pocillopora_meandrina_HIv1___Sc0000000:16482875-16483301	Cluster_347	N	54	4	85	57	37
Pocillopora_meandrina_HIv1___Sc0000000:16894001-16894416	Cluster_348	N	0	0	0	29	91
Pocillopora_meandrina_HIv1___Sc0000000:16918087-16918513	Cluster_349	N	12	42	27	25	97
Pocillopora_meandrina_HIv1___Sc0000000:17062895-17064294	Cluster_350	N	820	70	88	698	45
Pocillopora_meandrina_HIv1___Sc0000000:17091980-17092444	Cluster_351	N	190	79	165	126	47
Pocillopora_meandrina_HIv1___Sc0000000:17094792-17095207	Cluster_352	N	0	0	37	3	107
Pocillopora_meandrina_HIv1___Sc0000000:17582770-17583200	Cluster_353	N	351	8	0	90	19
Pocillopora_meandrina_HIv1___Sc0000000:17629601-17630015	Cluster_354	N	1	15	10	1	67
Pocillopora_meandrina_HIv1___Sc0000000:17858000-17858429	Cluster_355	N	14	7	99	62	7
Pocillopora_meandrina_HIv1___Sc0000000:17927790-17928217	Cluster_356	N	25	53	15	24	0
Pocillopora_meandrina_HIv1___Sc0000000:18139302-18139734	Cluster_357	N	189	6	9	51	7
Pocillopora_meandrina_HIv1___Sc0000000:18537549-18537973	Cluster_358	N	1	0	77	5	1
Pocillopora_meandrina_HIv1___Sc0000000:18555063-18555627	Cluster_359	N	94	131	208	241	36
Pocillopora_meandrina_HIv1___Sc0000000:18556448-18556864	Cluster_360	N	17	32	41	42	184
Pocillopora_meandrina_HIv1___Sc0000000:18562802-18563452	Cluster_361	N	115	29	45	169	232
Pocillopora_meandrina_HIv1___Sc0000000:18563602-18564155	Cluster_362	N	460	65	49	263	56
Pocillopora_meandrina_HIv1___Sc0000000:18564393-18564819	Cluster_363	N	78	3	91	68	30
Pocillopora_meandrina_HIv1___Sc0000000:18585347-18586585	Cluster_364	N	82	82	125	950	52
Pocillopora_meandrina_HIv1___Sc0000000:18586632-18588003	Cluster_365	N	252	229	389	369	98
Pocillopora_meandrina_HIv1___Sc0000000:18589062-18589489	Cluster_366	N	1	1	5	351	3
Pocillopora_meandrina_HIv1___Sc0000000:18762339-18762752	Cluster_367	N	8	35	6	15	31
Pocillopora_meandrina_HIv1___Sc0000000:18807942-18808357	Cluster_368	N	3	3	0	20	114
Pocillopora_meandrina_HIv1___Sc0000000:18814008-18814422	Cluster_369	N	33	8	16	24	32
Pocillopora_meandrina_HIv1___Sc0000000:18820441-18820856	Cluster_370	N	7	6	117	17	8
Pocillopora_meandrina_HIv1___Sc0000000:18903586-18904001	Cluster_371	N	53	34	13	7	6
Pocillopora_meandrina_HIv1___Sc0000000:18972296-18972712	Cluster_372	N	26	32	8	0	48
Pocillopora_meandrina_HIv1___Sc0000000:19104877-19105303	Cluster_373	N	55	0	79	67	16
Pocillopora_meandrina_HIv1___Sc0000000:19105541-19106198	Cluster_374	N	404	79	242	214	162
Pocillopora_meandrina_HIv1___Sc0000000:19106418-19107073	Cluster_375	N	84	144	112	192	79
Pocillopora_meandrina_HIv1___Sc0000000:19107224-19107869	Cluster_376	N	148	32	49	163	220
Pocillopora_meandrina_HIv1___Sc0000000:19172834-19173259	Cluster_377	N	41	13	24	32	47
Pocillopora_meandrina_HIv1___Sc0000000:19548879-19549664	Cluster_378	N	6	618	1437	1261	170
Pocillopora_meandrina_HIv1___Sc0000000:19550612-19551039	Cluster_379	N	0	0	1	0	91
Pocillopora_meandrina_HIv1___Sc0000000:19551968-19552391	Cluster_380	N	179	3	22	0	0
Pocillopora_meandrina_HIv1___Sc0000000:19670489-19670916	Cluster_381	N	1	105	30	2	0
Pocillopora_meandrina_HIv1___Sc0000000:19723215-19723629	Cluster_382	N	10	13	8	20	29
Pocillopora_meandrina_HIv1___Sc0000000:19726199-19726622	Cluster_383	N	0	4	175	3	8
Pocillopora_meandrina_HIv1___Sc0000000:19749017-19749441	Cluster_384	N	28	6	90	18	14
Pocillopora_meandrina_HIv1___Sc0000000:19758301-19758728	Cluster_385	N	1	41	1	0	141
Pocillopora_meandrina_HIv1___Sc0000000:19791285-19791992	Cluster_386	N	115	224	193	141	141
Pocillopora_meandrina_HIv1___Sc0000000:19799557-19800087	Cluster_387	N	155	637	341	876	1352
Pocillopora_meandrina_HIv1___Sc0000000:19800614-19801084	Cluster_388	N	243	697	377	929	316
Pocillopora_meandrina_HIv1___Sc0000000:19802252-19802723	Cluster_389	N	120	286	222	314	530
Pocillopora_meandrina_HIv1___Sc0000000:19809696-19810174	Cluster_390	N	140	179	152	136	339
Pocillopora_meandrina_HIv1___Sc0000000:19813053-19813481	Cluster_391	N	26	39	19	83	251
Pocillopora_meandrina_HIv1___Sc0000000:19813596-19814045	Cluster_392	N	26	37	13	80	113
Pocillopora_meandrina_HIv1___Sc0000000:19856455-19856872	Cluster_393	N	32	43	27	41	13
Pocillopora_meandrina_HIv1___Sc0000000:19934098-19934580	Cluster_394	N	709	23	2731	1687	14
Pocillopora_meandrina_HIv1___Sc0000000:19970946-19971367	Cluster_395	N	17	57	32	49	35
Pocillopora_meandrina_HIv1___Sc0000000:19971632-19972106	Cluster_396	N	1824	3094	1646	3996	5701
Pocillopora_meandrina_HIv1___Sc0000000:19974441-19974957	Cluster_397	N	39	88	59	131	406
Pocillopora_meandrina_HIv1___Sc0000000:19977738-19978273	Cluster_398	N	87	149	134	292	365
Pocillopora_meandrina_HIv1___Sc0000000:20051814-20052242	Cluster_399	N	17	1	213	32	13
Pocillopora_meandrina_HIv1___Sc0000000:20072489-20072904	Cluster_400	N	112	169	10	9	3291
Pocillopora_meandrina_HIv1___Sc0000000:20238800-20239217	Cluster_401	N	248	166	25	354	76
Pocillopora_meandrina_HIv1___Sc0000000:20372416-20372510	Cluster_402	Y	137871	101059	140065	82635	51791
Pocillopora_meandrina_HIv1___Sc0000000:20455492-20455961	Cluster_403	N	151	250	158	72	189
Pocillopora_meandrina_HIv1___Sc0000000:20487173-20487823	Cluster_404	N	377	256	253	462	1056
Pocillopora_meandrina_HIv1___Sc0000000:20534016-20535105	Cluster_405	N	1209	590	991	1078	83
Pocillopora_meandrina_HIv1___Sc0000000:20554497-20554926	Cluster_406	N	115	25	106	54	105
Pocillopora_meandrina_HIv1___Sc0000000:20557163-20557593	Cluster_407	N	392	1682	1068	7	2352
Pocillopora_meandrina_HIv1___Sc0000000:20559748-20560166	Cluster_408	N	39	110	37	126	822
Pocillopora_meandrina_HIv1___Sc0000000:20665499-20665929	Cluster_409	N	383	614	0	3	1
Pocillopora_meandrina_HIv1___Sc0000000:20681229-20681645	Cluster_410	N	76	300	159	175	379
Pocillopora_meandrina_HIv1___Sc0000000:20703269-20703749	Cluster_411	N	492	803	118	822	1470
Pocillopora_meandrina_HIv1___Sc0000000:20729679-20730094	Cluster_412	N	11	12	30	43	30
Pocillopora_meandrina_HIv1___Sc0000000:21034486-21034968	Cluster_413	N	16	747	412	6	209
Pocillopora_meandrina_HIv1___Sc0000000:21389688-21390088	Cluster_414	N	14	29	29	40	40
Pocillopora_meandrina_HIv1___Sc0000000:21409875-21410303	Cluster_415	N	219	21	69	105	39
Pocillopora_meandrina_HIv1___Sc0000000:21472540-21472955	Cluster_416	N	46	80	15	51	106
Pocillopora_meandrina_HIv1___Sc0000000:21554824-21555299	Cluster_417	N	238	102	29	26	0
Pocillopora_meandrina_HIv1___Sc0000001:69798-71462	Cluster_418	N	3457	3224	4004	3879	419
Pocillopora_meandrina_HIv1___Sc0000001:244653-245089	Cluster_419	N	104	121	97	185	97
Pocillopora_meandrina_HIv1___Sc0000001:412107-413609	Cluster_420	N	571	352	336	291	235
Pocillopora_meandrina_HIv1___Sc0000001:417093-417508	Cluster_421	N	0	0	6	0	249
Pocillopora_meandrina_HIv1___Sc0000001:425523-426000	Cluster_422	N	448	0	0	20	8
Pocillopora_meandrina_HIv1___Sc0000001:456750-457153	Cluster_423	N	0	18	2	1	81
Pocillopora_meandrina_HIv1___Sc0000001:556066-556480	Cluster_424	N	5	35	8	91	130
Pocillopora_meandrina_HIv1___Sc0000001:818096-818531	Cluster_425	N	80	42	144	115	16
Pocillopora_meandrina_HIv1___Sc0000001:868706-869124	Cluster_426	N	13	65	15	77	150
Pocillopora_meandrina_HIv1___Sc0000001:891761-892187	Cluster_427	N	4	36	2	1	141
Pocillopora_meandrina_HIv1___Sc0000001:911186-911649	Cluster_428	N	10	6	285	169	0
Pocillopora_meandrina_HIv1___Sc0000001:912150-912578	Cluster_429	N	1	37	16	207	0
Pocillopora_meandrina_HIv1___Sc0000001:914054-914481	Cluster_430	N	11	18	0	103	9
Pocillopora_meandrina_HIv1___Sc0000001:917428-917858	Cluster_431	N	16	17	134	135	9
Pocillopora_meandrina_HIv1___Sc0000001:968471-969480	Cluster_432	N	10	152	1098	542	110
Pocillopora_meandrina_HIv1___Sc0000001:974684-975142	Cluster_433	N	638	280	697	320	134
Pocillopora_meandrina_HIv1___Sc0000001:1077987-1078403	Cluster_434	N	52	32	5	7	42
Pocillopora_meandrina_HIv1___Sc0000001:1354658-1355144	Cluster_435	N	174	552	646	677	2215
Pocillopora_meandrina_HIv1___Sc0000001:1459402-1459496	Cluster_436	Y	741	627	779	894	362
Pocillopora_meandrina_HIv1___Sc0000001:1537727-1538141	Cluster_437	N	69	15	24	14	1
Pocillopora_meandrina_HIv1___Sc0000001:1587809-1588305	Cluster_438	N	202	11	61	31	3
Pocillopora_meandrina_HIv1___Sc0000001:1588893-1589316	Cluster_439	N	43	25	50	50	8
Pocillopora_meandrina_HIv1___Sc0000001:1589392-1589818	Cluster_440	N	39	17	9	54	16
Pocillopora_meandrina_HIv1___Sc0000001:1590307-1590710	Cluster_441	N	66	23	17	45	4
Pocillopora_meandrina_HIv1___Sc0000001:1591154-1591562	Cluster_442	N	51	17	22	33	16
Pocillopora_meandrina_HIv1___Sc0000001:1606008-1606599	Cluster_443	N	26	2	87	295	23
Pocillopora_meandrina_HIv1___Sc0000001:1639234-1639676	Cluster_444	N	0	1	3	209	0
Pocillopora_meandrina_HIv1___Sc0000001:1689505-1689966	Cluster_445	N	7	43	15	179	116
Pocillopora_meandrina_HIv1___Sc0000001:1690274-1690785	Cluster_446	N	6	26	17	319	99
Pocillopora_meandrina_HIv1___Sc0000001:1691390-1691808	Cluster_447	N	2	3	4	184	52
Pocillopora_meandrina_HIv1___Sc0000001:1692256-1692988	Cluster_448	N	18	51	30	570	267
Pocillopora_meandrina_HIv1___Sc0000001:1709074-1709490	Cluster_449	N	7	32	7	57	101
Pocillopora_meandrina_HIv1___Sc0000001:1723121-1723549	Cluster_450	N	1	28	332	16	3
Pocillopora_meandrina_HIv1___Sc0000001:1752847-1753261	Cluster_451	N	2	6	10	12	50
Pocillopora_meandrina_HIv1___Sc0000001:1910655-1911071	Cluster_452	N	15	96	5	3	12
Pocillopora_meandrina_HIv1___Sc0000001:1981097-1981525	Cluster_453	N	47	4	48	5	19
Pocillopora_meandrina_HIv1___Sc0000001:2046484-2047577	Cluster_454	N	362	67	440	291	85
Pocillopora_meandrina_HIv1___Sc0000001:2047888-2048301	Cluster_455	N	36	15	77	42	40
Pocillopora_meandrina_HIv1___Sc0000001:2049671-2051838	Cluster_456	N	990	142	998	569	197
Pocillopora_meandrina_HIv1___Sc0000001:2051970-2052452	Cluster_457	N	118	33	192	61	54
Pocillopora_meandrina_HIv1___Sc0000001:2187675-2188091	Cluster_458	N	2	16	2	37	35
Pocillopora_meandrina_HIv1___Sc0000001:2233397-2233817	Cluster_459	N	77	0	21	0	8
Pocillopora_meandrina_HIv1___Sc0000001:2235738-2236162	Cluster_460	N	13	30	11	98	0
Pocillopora_meandrina_HIv1___Sc0000001:2237617-2238340	Cluster_461	N	1020	499	912	391	396
Pocillopora_meandrina_HIv1___Sc0000001:2243710-2244293	Cluster_462	N	2169	4	187	2	250
Pocillopora_meandrina_HIv1___Sc0000001:2254607-2255032	Cluster_463	N	57	19	16	46	10
Pocillopora_meandrina_HIv1___Sc0000001:2275231-2275660	Cluster_464	N	52	0	3	379	17
Pocillopora_meandrina_HIv1___Sc0000001:2276928-2277360	Cluster_465	N	172	47	6	163	1
Pocillopora_meandrina_HIv1___Sc0000001:2285037-2285666	Cluster_466	N	108	195	1	521	111
Pocillopora_meandrina_HIv1___Sc0000001:2286291-2287142	Cluster_467	N	942	62	2	196	42
Pocillopora_meandrina_HIv1___Sc0000001:2288505-2288931	Cluster_468	N	12	86	1	63	53
Pocillopora_meandrina_HIv1___Sc0000001:2289525-2289963	Cluster_469	N	2	155	2	94	71
Pocillopora_meandrina_HIv1___Sc0000001:2290080-2290503	Cluster_470	N	92	3	7	10	0
Pocillopora_meandrina_HIv1___Sc0000001:2303039-2303468	Cluster_471	N	166	148	177	44	6
Pocillopora_meandrina_HIv1___Sc0000001:2305359-2305783	Cluster_472	N	82	18	0	10	0
Pocillopora_meandrina_HIv1___Sc0000001:2324994-2325423	Cluster_473	N	1	55	22	137	2
Pocillopora_meandrina_HIv1___Sc0000001:2327372-2327799	Cluster_474	N	49	12	0	60	1
Pocillopora_meandrina_HIv1___Sc0000001:2328890-2329313	Cluster_475	N	147	5	16	9	0
Pocillopora_meandrina_HIv1___Sc0000001:2348008-2348432	Cluster_476	N	1	8	1	79	1
Pocillopora_meandrina_HIv1___Sc0000001:2368290-2368717	Cluster_477	N	79	9	10	0	1
Pocillopora_meandrina_HIv1___Sc0000001:2487360-2487774	Cluster_478	N	21	88	16	48	79
Pocillopora_meandrina_HIv1___Sc0000001:2537226-2537638	Cluster_479	N	20	60	26	88	102
Pocillopora_meandrina_HIv1___Sc0000001:2731349-2731771	Cluster_480	N	50	59	34	32	47
Pocillopora_meandrina_HIv1___Sc0000001:2746252-2746672	Cluster_481	N	90	90	67	44	35
Pocillopora_meandrina_HIv1___Sc0000001:2774475-2774897	Cluster_482	N	151	66	83	45	47
Pocillopora_meandrina_HIv1___Sc0000001:2801084-2801513	Cluster_483	N	163	0	7	0	1
Pocillopora_meandrina_HIv1___Sc0000001:2839815-2840244	Cluster_484	N	194	11	44	21	10
Pocillopora_meandrina_HIv1___Sc0000001:2842056-2842485	Cluster_485	N	147	1	6	0	1
Pocillopora_meandrina_HIv1___Sc0000001:2858571-2858998	Cluster_486	N	145	9	27	11	49
Pocillopora_meandrina_HIv1___Sc0000001:2862246-2862675	Cluster_487	N	729	0	29	7	35
Pocillopora_meandrina_HIv1___Sc0000001:2868049-2868506	Cluster_488	N	115	80	275	129	31
Pocillopora_meandrina_HIv1___Sc0000001:2881477-2881912	Cluster_489	N	72	24	4	131	46
Pocillopora_meandrina_HIv1___Sc0000001:2903040-2903512	Cluster_490	N	117	29	92	45	8
Pocillopora_meandrina_HIv1___Sc0000001:2983017-2983445	Cluster_491	N	47	0	33	21	28
Pocillopora_meandrina_HIv1___Sc0000001:3114844-3115375	Cluster_492	N	173	210	135	546	854
Pocillopora_meandrina_HIv1___Sc0000001:3115989-3116533	Cluster_493	N	67	108	58	107	193
Pocillopora_meandrina_HIv1___Sc0000001:3371410-3371825	Cluster_494	N	16	34	13	87	434
Pocillopora_meandrina_HIv1___Sc0000001:3380068-3380495	Cluster_495	N	2	127	0	1	1
Pocillopora_meandrina_HIv1___Sc0000001:3428050-3428452	Cluster_496	N	53	10	0	33	56
Pocillopora_meandrina_HIv1___Sc0000001:3536699-3537117	Cluster_497	N	4	55	6	18	8
Pocillopora_meandrina_HIv1___Sc0000001:3656409-3656832	Cluster_498	N	11	9	28	41	15
Pocillopora_meandrina_HIv1___Sc0000001:3680479-3680894	Cluster_499	N	12	35	32	33	53
Pocillopora_meandrina_HIv1___Sc0000001:3883546-3883975	Cluster_500	N	12	42	17	82	125
Pocillopora_meandrina_HIv1___Sc0000001:3998764-3999467	Cluster_501	N	191895	247241	75338	233062	376953
Pocillopora_meandrina_HIv1___Sc0000001:4021711-4022206	Cluster_502	N	339	379	210	1316	316
Pocillopora_meandrina_HIv1___Sc0000001:4023280-4023700	Cluster_503	N	0	17	0	0	80
Pocillopora_meandrina_HIv1___Sc0000001:4053472-4054172	Cluster_504	N	3517	6787	5731	19782	54886
Pocillopora_meandrina_HIv1___Sc0000001:4062957-4063383	Cluster_505	N	47	8	75	85	27
Pocillopora_meandrina_HIv1___Sc0000001:4063621-4064323	Cluster_506	N	2464	58	245	2855	185
Pocillopora_meandrina_HIv1___Sc0000001:4064498-4065026	Cluster_507	N	28	92	171	303	68
Pocillopora_meandrina_HIv1___Sc0000001:4118827-4119300	Cluster_508	N	135	102	116	224	296
Pocillopora_meandrina_HIv1___Sc0000001:4229586-4230014	Cluster_509	N	15	39	22	231	143
Pocillopora_meandrina_HIv1___Sc0000001:4298315-4298771	Cluster_510	N	549	1131	2045	1735	4946
Pocillopora_meandrina_HIv1___Sc0000001:4312313-4312718	Cluster_511	N	5	11	32	23	57
Pocillopora_meandrina_HIv1___Sc0000001:4313477-4313891	Cluster_512	N	4	12	46	23	105
Pocillopora_meandrina_HIv1___Sc0000001:4315110-4315575	Cluster_513	N	18	21	61	93	132
Pocillopora_meandrina_HIv1___Sc0000001:4316894-4317370	Cluster_514	N	19	31	47	69	130
Pocillopora_meandrina_HIv1___Sc0000001:4317599-4318009	Cluster_515	N	13	18	37	34	89
Pocillopora_meandrina_HIv1___Sc0000001:4318455-4318865	Cluster_516	N	14	12	28	30	105
Pocillopora_meandrina_HIv1___Sc0000001:4345272-4345690	Cluster_517	N	0	0	87	0	0
Pocillopora_meandrina_HIv1___Sc0000001:4361258-4362427	Cluster_518	N	1801	1092	891	1	200
Pocillopora_meandrina_HIv1___Sc0000001:4362438-4364034	Cluster_519	N	6522	13	345	13	536
Pocillopora_meandrina_HIv1___Sc0000001:4364285-4365034	Cluster_520	N	3	134	280	679	16
Pocillopora_meandrina_HIv1___Sc0000001:4428342-4428761	Cluster_521	N	12	24	337	44	110
